Which city do you shop online from?,What is the Pin Code of where you shop online from?,Since How Long You are Shopping Online ?,"What is the operating system (OS) of your device?				                                          ","What is your preferred payment Option?					                                                                                                                               ","How frequently do you abandon (selecting an items and leaving without making payment) your shopping cart?	                                                   ",The content on the website must be easy to read and understand,Information on similar product to the one highlighted  is important for product comparison,Complete information on listed seller and product being offered is important for purchase decision.,Ease of navigation in website,Loading and processing speed,User friendly Interface of the website,Convenient Payment methods,Being able to guarantee the privacy of the customer,"Responsiveness, availability of several communication channels (email, online rep, twitter, phone etc.)",Online shopping gives monetary benefit and discounts,Enjoyment is derived from shopping online,Return and replacement policy of the e-tailer is important for purchase decision,Displaying quality Information on the website improves satisfaction of customers,User derive satisfaction while shopping on a good quality website or application,Net Benefit derived from shopping online can lead to users satisfaction,Offering a wide variety of listed product in several category,Provision of complete and relevant product information,Getting value for money spent,Easy to use website or application,"Complete, relevant description information of products",Fast loading website speed of website and application,Reliability of the website or application,Availability of several payment options,Speedy order delivery ,Privacy of customers’ information,Security of customer financial information,Perceived Trustworthiness,Presence of online assistance through multi-channel,Which of the Indian online retailer would you recommend to a friend?
Bangalore ,530068,2-3 years,IOS/Mac,Credit/Debit cards,Frequently,5,3,3,4,5,5,5,4,5,5,5,5,4,5,5,4,4,5,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Flipkart.com, Patym.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Paytm.com",Paytm.com,"Amazon.in, Myntra.com","Amazon.in, Myntra.com","Amazon.in, Myntra.com"
Ghaziabad,201005,Above 4 years,Android,"E-wallets (Paytm, Freecharge etc.)",Frequently,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Paytm.com","Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com, Patym.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Paytm.com"
Solan,173229,2-3 years,Android,Cash on delivery (CoD),Sometimes,5,4,5,4,4,5,5,5,5,5,4,4,5,5,5,5,4,3,"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Flipkart.com, Myntra.com, Snapdeal.com","Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal",Amazon.in
Delhi,110044,Less than 1 year,Window/windows Mobile,Cash on delivery (CoD),Sometimes,4,5,4,5,5,5,4,5,5,4,4,5,4,4,5,4,4,4,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Flipkart.com
Noida,201308,Above 4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,5,4,5,4,5,4,5,5,3,2,5,5,5,5,3,5,4,"Amazon.in, Flipkart.com, Myntra.com",Amazon.in,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Snapdeal.com",Amazon.in,"Amazon.in, Snapdeal","Amazon.in, Flipkart.com"
Gurgaon ,122018,2-3 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,5,5,5,5,5,5,5,3,4,4,5,5,5,5,5,5,4,"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Myntra.com",Amazon.in,Amazon.in,Amazon.in,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Myntra.com"
Greater Noida,201310,Above 4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,5,1,5,5,5,5,5,1,3,3,5,5,5,5,4,5,5,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Patym.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal","Amazon.in, Flipkart.com"
Solan,173212,3-4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,5,4,5,4,4,5,3,4,4,3,5,4,4,4,3,5,4,Amazon.in,Amazon.in,Amazon.in,Amazon.in,"Amazon.in, Flipkart.com",Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in
Solan,173212,1-2 years,Android,Cash on delivery (CoD),Never,4,4,4,4,4,4,4,4,4,3,3,2,3,2,3,4,3,3,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in
Gurgaon ,122009,Less than 1 year,IOS/Mac,Cash on delivery (CoD),Frequently,5,4,5,4,4,5,5,4,4,4,3,4,4,4,3,3,4,4,"Amazon.in, Paytm.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Snapdeal","Amazon.in, Flipkart.com"
Ghaziabad,201009,2-3 years,Android,Cash on delivery (CoD),Never,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in
Ghaziabad,201008,1-2 years,Android,Cash on delivery (CoD),Sometimes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com
Ghaziabad,201001,Less than 1 year,Window/windows Mobile,Cash on delivery (CoD),Never,3,4,5,4,3,4,4,5,4,5,5,5,4,5,5,2,4,4,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Amazon.in,Flipkart.com,Amazon.in,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Amazon.in,Amazon.in
Karnal ,132001,3-4 years,IOS/Mac,Credit/Debit cards,Never,4,4,3,5,4,5,5,5,4,4,3,4,3,4,3,4,4,4,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal","Amazon.in, Flipkart.com"
Delhi,110011,Above 4 years,Android,Credit/Debit cards,Sometimes,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,"Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal","Flipkart.com, Paytm.com, Myntra.com, snapdeal.com"
Delhi,110018,3-4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,1,2,2,1,2,1,2,3,5,1,1,5,5,5,4,5,5,4,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com",Amazon.in,"Amazon.in, Flipkart.com",Amazon.in,Paytm.com,Flipkart.com,Amazon.in,Amazon.in,Amazon.in
Moradabad,244001,Above 4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,3,4,4,5,4,4,5,4,2,3,5,3,4,2,3,4,3,"Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Paytm.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Patym.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Paytm.com",Amazon.in,Amazon.in
Bulandshahr,203001,1-2 years,Android,Cash on delivery (CoD),Sometimes,4,3,4,2,3,3,4,4,4,5,3,4,4,4,4,4,Disagree (2),3,Amazon.in,"Amazon.in, Flipkart.com",Amazon.in,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Amazon.in,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Amazon.in
Delhi,110009,Above 4 years,Window/windows Mobile,"E-wallets (Paytm, Freecharge etc.)",Sometimes,4,3,3,4,1,2,2,4,4,3,1,2,3,5,4,3,3,5,Paytm.com,Snapdeal.com,Snapdeal.com,Paytm.com,Patym.com,Amazon.in,Amazon.in,Amazon.in,Flipkart.com,Paytm.com,Flipkart.com
Delhi,110030,Above 4 years,IOS/Mac,Credit/Debit cards,Very frequently,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com, Myntra.com",Myntra.com,"Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com",Myntra.com,Myntra.com,Myntra.com,"Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Myntra.com"
Greater Noida,201308,3-4 years,Android,"E-wallets (Paytm, Freecharge etc.)",Sometimes,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com","Amazon.in, Paytm.com, Myntra.com","Patym.com, Myntra.com",Amazon.in,Amazon.in,"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Myntra.com",Myntra.com,"Amazon.in, Paytm.com, Myntra.com"
Bangalore ,560037,2-3 years,IOS/Mac,Credit/Debit cards,Frequently,5,3,3,4,5,5,5,4,5,5,5,5,4,5,5,4,4,5,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Flipkart.com, Patym.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Paytm.com",Paytm.com,"Amazon.in, Myntra.com","Amazon.in, Myntra.com","Amazon.in, Myntra.com"
Noida,201308,Above 4 years,Android,"E-wallets (Paytm, Freecharge etc.)",Frequently,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Paytm.com","Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com, Patym.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Paytm.com"
Solan,173229,2-3 years,Android,Cash on delivery (CoD),Sometimes,5,4,5,4,4,5,5,5,5,5,4,4,5,5,5,5,4,3,"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Flipkart.com, Myntra.com, Snapdeal.com","Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal",Amazon.in
Delhi,110039,Less than 1 year,Window/windows Mobile,Cash on delivery (CoD),Sometimes,4,5,4,5,5,5,4,5,5,4,4,5,4,4,5,4,4,4,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Flipkart.com
Noida,201308,Above 4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,5,4,5,4,5,4,5,5,3,2,5,5,5,5,3,5,4,"Amazon.in, Flipkart.com, Myntra.com",Amazon.in,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Snapdeal.com",Amazon.in,"Amazon.in, Snapdeal","Amazon.in, Flipkart.com"
Gurgaon ,122018,2-3 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,5,5,5,5,5,5,5,3,4,4,5,5,5,5,5,5,4,"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Myntra.com",Amazon.in,Amazon.in,Amazon.in,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Myntra.com"
Greater Noida,201310,Above 4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,5,1,5,5,5,5,5,1,3,3,5,5,5,5,4,5,5,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Patym.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal","Amazon.in, Flipkart.com"
Solan,173212,3-4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,5,4,5,4,4,5,3,4,4,3,5,4,4,4,3,5,4,Amazon.in,Amazon.in,Amazon.in,Amazon.in,"Amazon.in, Flipkart.com",Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in
Solan,173212,1-2 years,Android,Cash on delivery (CoD),Never,4,4,4,4,4,4,4,4,4,3,3,2,3,2,3,4,3,3,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in
Gurgaon ,122009,Less than 1 year,IOS/Mac,Cash on delivery (CoD),Frequently,5,4,5,4,4,5,5,4,4,4,3,4,4,4,3,3,4,4,"Amazon.in, Paytm.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Snapdeal","Amazon.in, Flipkart.com"
Ghaziabad,201009,2-3 years,Android,Cash on delivery (CoD),Never,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in,Amazon.in
Ghaziabad,201008,1-2 years,Android,Cash on delivery (CoD),Sometimes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com
Ghaziabad,201001,Less than 1 year,Window/windows Mobile,Cash on delivery (CoD),Never,3,4,5,4,3,4,4,5,4,5,5,5,4,5,5,2,4,4,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Amazon.in,Flipkart.com,Amazon.in,Flipkart.com,Flipkart.com,Flipkart.com,Flipkart.com,Amazon.in,Amazon.in
Karnal ,132001,3-4 years,IOS/Mac,Credit/Debit cards,Never,4,4,3,5,4,5,5,5,4,4,3,4,3,4,3,4,4,4,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal","Amazon.in, Flipkart.com"
Delhi,110011,Above 4 years,Android,Credit/Debit cards,Sometimes,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,"Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal","Flipkart.com, Paytm.com, Myntra.com, snapdeal.com"
Delhi,110018,3-4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,1,2,2,1,2,1,2,3,5,1,1,5,5,5,4,5,5,4,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com",Amazon.in,"Amazon.in, Flipkart.com",Amazon.in,Paytm.com,Flipkart.com,Amazon.in,Amazon.in,Amazon.in
Moradabad,244001,Above 4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,3,4,4,5,4,4,5,4,2,3,5,3,4,2,3,4,3,"Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Paytm.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Patym.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Paytm.com",Amazon.in,Amazon.in
Bulandshahr,203001,1-2 years,Android,Cash on delivery (CoD),Sometimes,4,3,4,2,3,3,4,4,4,5,3,4,4,4,4,4,Disagree (2),3,Amazon.in,"Amazon.in, Flipkart.com",Amazon.in,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Amazon.in,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Amazon.in
Delhi,110009,Above 4 years,Window/windows Mobile,"E-wallets (Paytm, Freecharge etc.)",Sometimes,4,3,3,4,1,2,2,4,4,3,1,2,3,5,4,3,3,5,Paytm.com,Snapdeal.com,Snapdeal.com,Paytm.com,Patym.com,Amazon.in,Amazon.in,Amazon.in,Flipkart.com,Paytm.com,Flipkart.com
Solan,173229,2-3 years,Android,Cash on delivery (CoD),Sometimes,5,4,5,4,4,5,5,5,5,5,4,4,5,5,5,5,4,3,"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Flipkart.com, Myntra.com, Snapdeal.com","Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal",Amazon.in
Noida,201308,Above 4 years,Android,"E-wallets (Paytm, Freecharge etc.)",Frequently,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Paytm.com","Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com, Patym.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Paytm.com"
Moradabad,244001,Above 4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,3,4,4,5,4,4,5,4,2,3,5,3,4,2,3,4,3,"Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Paytm.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Patym.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Paytm.com",Amazon.in,Amazon.in
Greater Noida,201308,3-4 years,Android,"E-wallets (Paytm, Freecharge etc.)",Sometimes,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com, Myntra.com","Amazon.in, Paytm.com","Amazon.in, Paytm.com, Myntra.com","Patym.com, Myntra.com",Amazon.in,Amazon.in,"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Myntra.com",Myntra.com,"Amazon.in, Paytm.com, Myntra.com"
Karnal ,132001,3-4 years,IOS/Mac,Credit/Debit cards,Never,4,4,3,5,4,5,5,5,4,4,3,4,3,4,3,4,4,4,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal","Amazon.in, Flipkart.com"
Delhi,110011,Above 4 years,Android,Credit/Debit cards,Sometimes,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,"Amazon.in, Flipkart.com, Paytm.com, Snapdeal.com","Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Snapdeal.com","Amazon.in, Flipkart.com, Myntra.com, Snapdeal","Flipkart.com, Paytm.com, Myntra.com, snapdeal.com"
Noida,201308,Above 4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,5,5,4,5,4,5,4,5,5,3,2,5,5,5,5,3,5,4,"Amazon.in, Flipkart.com, Myntra.com",Amazon.in,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Flipkart.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Snapdeal.com",Amazon.in,"Amazon.in, Snapdeal","Amazon.in, Flipkart.com"
Bangalore ,560037,2-3 years,IOS/Mac,Credit/Debit cards,Frequently,5,3,3,4,5,5,5,4,5,5,5,5,4,5,5,4,4,5,"Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com","Amazon.in, Flipkart.com, Paytm.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Paytm.com, Myntra.com","Amazon.in, Flipkart.com, Patym.com, Myntra.com, Snapdeal.com",Amazon.in,"Amazon.in, Paytm.com",Paytm.com,"Amazon.in, Myntra.com","Amazon.in, Myntra.com","Amazon.in, Myntra.com"
Delhi,110018,3-4 years,Window/windows Mobile,Credit/Debit cards,Sometimes,1,2,2,1,2,1,2,3,5,1,1,5,5,5,4,5,5,4,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com, Paytm.com",Amazon.in,"Amazon.in, Flipkart.com",Amazon.in,Paytm.com,Flipkart.com,Amazon.in,Amazon.in,Amazon.in
Delhi,110039,Less than 1 year,Window/windows Mobile,Cash on delivery (CoD),Sometimes,4,5,4,5,5,5,4,5,5,4,4,5,4,4,5,4,4,4,"Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com","Amazon.in, Flipkart.com",Flipkart.com
